questions,factors,direction
Are you the life of the party? ,1,+
Do you have a little concern for others?,2,-
Are you always prepared?,3,+
Do you feel like you get stressed out easily?,4,-
Do you think you have a rich vocabulary ?,5,+
Is it correct that you don't talk much?,1,-
Are you interested in people ?,2,+
Do you leave your belongings around ?,3,-
Are you relaxed most of the time?,4,+
Do you have difficuilty understanding abstract ideas?,5,-
Are you always comfortable around people?,1,+
Do you insult people?,2,-
Do you pay attention to the details ?,3,+
Do you worry about things ?,4,-
Do you have a vivid imagination?,5,+
Do you tend to keep things in the background?,1,-
Do you sympathize with others' feelings?,2,+
Do you make a mess out of things?,3,-
Do you rarely feel depressed?,4,+
Are you not interested in abstract ideas?,5,-
Would you start conversations?,1,+
Are you not interested in other people's problem?,2,-
Do you get chores done right away?,3,+
Are you easily disturbed?,4,-
Would you consider yourself to have excellent ideas?,5,+
Do you have little to say in certain situations?,1,-
Do you have a soft heart?,2,+
Do you often forgot to put things back in their proper place ?,3,-
Do you get upset easily?,4,-
Do you think you don't have a good imagination?,5,-
Do you talk to a lot of different people at parties?,1,+
Are you disinterested in other people?,2,-
Do you like things in an order or particular way?,3,+
Do you feel like your mood changes a lot?,4,-
Are you quick to understand things?,5,+
Do you dislike drawing attention towards yourself?,1,-
Do you take out time for others?,2,+
Do you shrik your duties?,3,-
Do you have frequent mood swings?,4,-
Do you like using difficult words?,5,+
Do you like being the center of everyone's attention?,1,+
Are you considerate of others emotions?,2,+
Do you like following a schedule?,3,+
Are you eaily irritated?,4,-
Do you spend time reflecting on things?,5,+
Are you quiet around strangers?,1,-
Do you make others feel at ease when they are with you?,2,+
Are you a perfectionist when it comes to your work?,3,+
Do you often feel gloomy?,4,-
Are you full of ideas?,5,+
