Yes I do feel that I am the life of party,5
I agree slightly,4
I sometimes feel like I am the life of  party but sometimes it doesn’t feel same,3
I am not so sure how I feel about this,2
I am definitely not the life of a party,1
I only have little concern for others,5
I have low concerns with peoples feelings,4
I can’t say surely about this,3
I feel concern towards others,2
I have a lot of concern for others,1
Yes I do think that I am prepared for different situations,5
I am somewhat prepared for situations,4
I guess sometimes I am prepared,3
I am not always prepared,2
I am surely always the last one to be prepared,1
I do think I am stressed out very easily,5
I think I agree slightly with it,4
There are times when I get stressed out easily but at times I am very calm and composed,3
No I disagree slightly,2
I completely disagree,1
My vocabulary is very rich,5
I try to use new words to improve my vocabulary,4
Sometimes my vocabulary is very rich but there are times when I can’t recollect words easily,3
My vocabulary is still not rich,2
My vocabulary is very poor,1
"Yes I it is absolutely true, I don’t talk a lot",5
I agree that I don’t talk much,4
Sometimes I do talk comfortably,3
Yes I am talkative,2
I am definitely very talkative,1
I am very much interested in knowing people,5
I'm interested in getting to know people.,4
I don't have a strong opinion on this.,3
People do not interest me.,2
I am not at all interested in people.,1
I am very careful about not leaving my belongings around,5
I try not to leave my belongings around,4
I don't have a strong view on this.,3
I leave my belongings around sometimes when I am too lazy,2
I always leave my belongings around,1
I am relaxed most of the time,5
I guess I am relaxed sometimes,4
I might feel relaxed at times but in certain situations I feel overwhelmed,3
I don’t feel relaxed at times,2
I am certainly not relaxed,1
I agree that I have problems to understand the abstract ideas,5
I sometimes face problem in understanding some abstract ideas,4
I am not certain about it,3
I understand abstract ideas,2
I get abstract ideas very easily,1
I am always comfortable around people,5
I feel comfortable around people only sometimes,4
I don’t feel certain about this,3
I am not always comfortable around people,2
I am extremely uncomfortable around people,1
"No, I don’t insult people at all",5
I try not to insult people,4
I am unsure about it.,3
I do insult people sometimes,2
I always insult people no matter who they are.,1
Yes I pay a lot of attention to the details,5
I pay attention to details sometimes,4
There’s not any opinion on this for me,3
I don’t pay attention to details,2
I never pay attention to details,1
I always worry about things,5
I worry about things sometimes,4
In certain situations,3
I try to not worry about things,2
I rarely worry about things,1
I have an extremely vivid imagination,5
It’s easy for me to imagine things,4
I am skeptical about it,3
It is hard for me to imagine things,2
I find it very difficult to imagine  things,1
Yes I tend to keep things in background,5
I sometimes keep things in background,4
I am uncertain about it,3
I don't keep things in background,2
I certainly don’t keep things in the background,1
I always sympathise to other’s feelings,5
I do sympathise to other’s feelings,4
I am unsure how I feel about this,3
I don't feel sympathy towards others feelings,2
I never feel sympathy for others,1
Yes I definitely make a mess out of things,5
I sometimes make a mess of things,4
I am not sure about how depressed I feel,3
I disagree to this,2
I strongly disagree that I make a mess out of things,1
Yes I rarely feel depressed,5
I think I am rarely depressed,4
I feel very unsure about this,3
I find myself depressed sometimes,2
I am always depressed,1
Yes I am certainly not interested in abstract ideas,5
I think I am not that interested in abstract ideas,4
I don't know how I feel about abstract ideas,3
I find abstract ideas interesting,2
"No, I find abstract ideas very interesting",1
"I agree",5
"I slightly agree",4
"I completely disagree",1
"I disagree",2
"Sometimes",3
"Yes I agree",5
